SectionId,NumOfTickets,Date
sec_corner_6_corner,3,5/18/1995 5:33:11 PM
sec_corner_38_corner,5,12/26/2009 5:25:04 PM
sec_corner_19_corner,6,10/19/1945 5:31:44 PM
sec_clb_aut_clb_aut,10,4/3/1950 6:36:49 PM
sec_end_21_end,3,2/16/1976 7:29:13 PM
sec_corner_23_corner,9,12/19/2016 1:09:20 AM
sec_side_7_side,2,7/13/1972 3:55:21 AM
sec_club_32_club,2,5/3/1950 7:43:03 AM
sec_side_36_side,5,4/9/2009 5:06:41 AM
sec_side_27_side,3,6/27/1948 9:32:57 PM
sec_pref_32_pref,7,7/19/2008 10:40:22 PM
sec_clb_aut_clb_aut,4,5/21/1951 1:44:35 AM
sec_corner_25_corner,7,3/3/2005 2:25:40 PM
sec_corner_18_corner,8,7/14/1955 6:37:49 PM
sec_side_26_side,7,6/2/1996 9:10:47 AM
sec_side_8_side,8,6/21/2007 7:16:59 AM
sec_corner_18_corner,8,3/17/1975 12:01:44 PM
sec_side_8_side,10,9/14/1981 10:20:30 PM
sec_side_13_side,6,12/30/1946 6:17:38 PM
sec_sro_sro,10,7/20/1944 3:28:18 PM
sec_end_2_end,4,12/8/1991 7:09:52 AM
sec_corner_37_corner,6,2/26/2011 1:51:47 PM
sec_side_26_side,1,5/9/2015 2:50:48 PM
sec_corner_39_corner,8,2/14/2010 1:16:07 AM
sec_club_29_club,6,2/19/1983 5:53:43 AM
sec_sro_sro,7,11/10/1940 2:08:49 PM
sec_side_9_side,9,5/13/1978 9:24:39 PM
sec_corner_6_corner,4,3/6/2008 6:58:30 AM
sec_corner_3_corner,1,5/16/1971 4:46:01 PM
sec_side_7_side,6,10/20/2017 9:43:17 PM
sec_club_29_club,9,4/1/1960 12:12:06 AM
sec_cb_cb,9,7/17/1971 10:07:55 AM
sec_corner_6_corner,1,4/28/2015 9:35:19 AM
sec_corner_17_corner,9,3/20/1998 8:54:39 AM
sec_side_36_side,1,6/21/1958 11:30:13 AM
sec_corner_5_corner,10,8/28/2017 8:01:52 PM
sec_side_16_side,7,10/24/1944 12:30:50 PM
sec_side_35_side,2,1/1/1940 7:23:19 AM
sec_corner_39_corner,6,9/18/1972 2:27:52 AM
sec_end_22_end,1,2/2/1992 4:42:14 AM
sec_corner_18_corner,1,6/6/1963 1:47:02 PM
sec_corner_18_corner,5,4/1/2009 6:02:54 PM
sec_side_35_side,1,9/7/1972 12:28:40 AM
sec_side_35_side,5,9/29/2013 8:25:51 PM
sec_club_30_club,4,5/19/2004 7:28:03 AM
sec_pref_28_pref,9,1/22/1950 11:16:16 AM
sec_corner_5_corner,7,11/30/2007 7:22:21 PM
sec_end_40_end,7,9/13/1941 7:19:13 AM
sec_end_40_end,1,1/29/1944 10:36:31 PM
sec_side_28_side,4,2/8/1973 5:39:49 PM
sec_side_33_side,3,2/17/1959 7:07:35 AM
sec_pref_31_pref,10,8/6/1941 2:10:54 AM
sec_side_28_side,6,4/2/1959 10:37:41 PM
sec_side_15_side,4,1/31/1971 1:46:22 PM
sec_club_32_club,9,5/5/1985 7:14:02 PM
sec_corner_3_corner,1,6/12/1971 3:43:56 PM
sec_clb_aut_clb_aut,1,1/1/1991 6:19:14 AM
sec_corner_17_corner,10,10/13/1957 11:22:31 AM
sec_cb_cb,1,2/11/1984 12:25:37 PM
sec_corner_4_corner,9,1/17/2000 1:13:13 AM
sec_corner_4_corner,8,7/21/1953 8:01:30 PM
sec_end_40_end,1,9/16/1949 1:17:39 AM
sec_corner_6_corner,5,7/24/1945 7:50:56 PM
sec_pref_28_pref,6,7/10/1954 5:14:07 PM
sec_club_31_club,6,2/2/1966 2:55:13 PM
sec_corner_37_corner,8,10/29/1993 4:52:21 PM
sec_side_27_side,8,3/29/1941 3:40:28 AM
sec_side_33_side,9,12/25/2018 2:14:31 AM
sec_side_7_side,6,11/2/1958 7:08:07 PM
sec_club_29_club,6,4/21/1964 9:45:40 PM
sec_cb_cb,6,12/11/1990 10:17:58 PM
sec_club_30_club,4,2/28/1995 8:58:59 AM
sec_club_29_club,9,8/15/1992 1:17:09 AM
sec_corner_23_corner,2,11/27/1996 7:40:36 PM
sec_side_9_side,5,10/4/1985 2:34:49 PM
sec_corner_5_corner,10,6/27/1962 6:09:16 PM
sec_corner_19_corner,10,11/6/2004 6:41:23 AM
sec_corner_37_corner,4,8/2/2011 8:16:20 AM
sec_end_21_end,4,5/8/1994 5:28:42 PM
sec_side_10_side,8,2/1/2009 9:35:54 PM
sec_side_7_side,7,4/30/1964 10:22:28 PM
sec_side_15_side,10,8/8/1988 9:50:47 PM
sec_pref_28_pref,4,1/11/2000 9:37:13 AM
sec_sro_sro,7,11/27/2013 12:10:12 AM
sec_side_35_side,9,5/21/1980 8:38:37 PM
sec_corner_38_corner,4,11/14/1943 11:38:06 AM
sec_club_32_club,3,5/5/2004 2:31:12 AM
sec_corner_17_corner,10,10/8/1999 8:41:15 AM
sec_corner_39_corner,7,3/8/1986 9:07:48 AM
sec_side_12_side,4,11/25/1987 12:15:07 PM
sec_end_22_end,9,1/25/1979 10:07:40 PM
sec_corner_3_corner,5,9/23/1972 1:22:09 PM
sec_corner_18_corner,7,10/2/1976 5:59:15 AM
sec_side_15_side,10,3/29/1971 3:07:17 PM
sec_corner_39_corner,8,4/3/1945 8:30:53 PM
sec_side_11_side,5,3/3/1982 7:33:51 PM
sec_corner_6_corner,4,9/5/2007 7:17:45 AM
sec_side_9_side,6,12/27/1967 10:48:50 PM
sec_end_21_end,10,8/23/1982 3:48:26 PM
sec_club_32_club,1,7/10/2012 9:53:39 AM
sec_club_31_club,3,4/9/1992 5:15:18 PM
sec_corner_23_corner,5,5/1/1954 1:55:40 PM
