ReservationID,ShowID,ReservationDate,CustomerID,CombinedID
1988,2,2/15/2019 4:12:47 AM,1610,res-1988_showID-2
740,27,1/7/2019 5:51:18 PM,812,res-740_showID-27
1740,16,2/16/2019 5:15:52 AM,1353,res-1740_showID-16
3521,14,3/26/2019 5:29:37 PM,746,res-3521_showID-14
1083,12,2/18/2019 8:41:21 PM,513,res-1083_showID-12
594,26,1/16/2019 3:45:54 PM,1393,res-594_showID-26
2227,30,3/3/2019 5:36:30 PM,241,res-2227_showID-30
178,30,1/4/2019 8:58:16 PM,46,res-178_showID-30
2690,20,1/13/2019 8:22:51 PM,1575,res-2690_showID-20
2490,17,1/26/2019 7:04:02 PM,1545,res-2490_showID-17
2666,12,3/2/2019 2:33:40 AM,133,res-2666_showID-12
659,16,2/24/2019 9:19:01 PM,1276,res-659_showID-16
1220,22,2/4/2019 1:50:28 AM,1559,res-1220_showID-22
1854,26,3/9/2019 2:29:43 AM,1253,res-1854_showID-26
73,12,1/4/2019 4:57:54 PM,1233,res-73_showID-12
2310,8,3/1/2019 2:34:37 AM,1113,res-2310_showID-8
2172,18,1/31/2019 9:00:01 PM,1893,res-2172_showID-18
823,9,2/21/2019 4:05:04 PM,1871,res-823_showID-9
1921,11,1/11/2019 6:17:53 AM,1360,res-1921_showID-11
143,8,1/5/2019 2:27:13 AM,533,res-143_showID-8
3072,24,1/16/2019 4:39:40 AM,1504,res-3072_showID-24
1273,11,3/26/2019 11:23:24 AM,834,res-1273_showID-11
3365,26,2/14/2019 8:31:30 AM,55,res-3365_showID-26
2707,12,2/12/2019 3:04:25 AM,1097,res-2707_showID-12
842,8,1/6/2019 3:59:16 AM,172,res-842_showID-8
2368,9,3/10/2019 1:19:43 AM,1153,res-2368_showID-9
1370,6,2/19/2019 7:27:26 PM,1385,res-1370_showID-6
2888,13,1/13/2019 3:42:24 AM,1177,res-2888_showID-13
3110,11,1/8/2019 6:29:59 AM,1978,res-3110_showID-11
2471,26,3/8/2019 5:40:19 AM,1837,res-2471_showID-26
2361,24,3/23/2019 12:50:54 PM,59,res-2361_showID-24
2146,23,1/1/2019 2:41:01 AM,172,res-2146_showID-23
295,18,3/21/2019 9:08:20 PM,63,res-295_showID-18
2712,9,2/28/2019 3:36:17 PM,431,res-2712_showID-9
1260,8,1/29/2019 12:32:20 PM,1347,res-1260_showID-8
3190,6,3/11/2019 4:15:00 AM,782,res-3190_showID-6
2897,16,2/16/2019 3:12:14 AM,1825,res-2897_showID-16
2129,8,3/30/2019 6:46:44 PM,178,res-2129_showID-8
255,13,1/2/2019 1:43:54 AM,1012,res-255_showID-13
1006,14,1/15/2019 5:46:33 AM,452,res-1006_showID-14
1448,6,1/7/2019 12:43:28 AM,1129,res-1448_showID-6
1515,15,2/3/2019 8:21:48 PM,265,res-1515_showID-15
1508,29,3/14/2019 4:41:27 PM,543,res-1508_showID-29
1969,3,3/8/2019 12:09:40 AM,866,res-1969_showID-3
1778,9,3/16/2019 1:34:06 PM,288,res-1778_showID-9
3372,7,1/22/2019 12:54:31 AM,781,res-3372_showID-7
1585,1,2/16/2019 10:03:08 PM,1968,res-1585_showID-1
2208,14,2/13/2019 1:13:35 PM,972,res-2208_showID-14
458,27,1/11/2019 3:44:15 PM,1330,res-458_showID-27
379,18,1/27/2019 6:29:50 PM,1904,res-379_showID-18
743,22,1/14/2019 6:49:18 PM,1453,res-743_showID-22
421,11,2/12/2019 8:25:23 PM,1232,res-421_showID-11
745,7,1/30/2019 11:22:57 AM,1374,res-745_showID-7
1444,14,3/18/2019 5:03:49 PM,1301,res-1444_showID-14
329,18,1/16/2019 11:59:05 AM,609,res-329_showID-18
2181,6,1/14/2019 9:17:03 PM,75,res-2181_showID-6
1276,28,2/8/2019 2:00:58 AM,364,res-1276_showID-28
2640,26,3/4/2019 5:21:13 AM,1731,res-2640_showID-26
952,30,2/23/2019 10:03:34 PM,553,res-952_showID-30
3199,17,2/25/2019 10:56:43 PM,518,res-3199_showID-17
2368,22,3/10/2019 1:19:43 AM,1719,res-2368_showID-22
2209,16,2/26/2019 11:49:35 AM,226,res-2209_showID-16
3353,6,2/19/2019 7:34:17 PM,515,res-3353_showID-6
1026,24,1/23/2019 7:12:10 AM,1889,res-1026_showID-24
1929,23,2/25/2019 8:09:28 PM,766,res-1929_showID-23
387,30,1/20/2019 5:37:40 AM,809,res-387_showID-30
226,17,1/15/2019 3:20:14 PM,743,res-226_showID-17
2229,12,1/26/2019 5:14:55 AM,1122,res-2229_showID-12
756,7,1/18/2019 2:45:46 AM,1845,res-756_showID-7
253,13,3/8/2019 4:08:39 PM,1976,res-253_showID-13
385,10,1/28/2019 1:13:41 AM,1433,res-385_showID-10
3311,4,3/2/2019 5:44:38 PM,1502,res-3311_showID-4
2248,10,2/4/2019 2:31:38 AM,99,res-2248_showID-10
1374,2,3/20/2019 11:02:04 AM,1261,res-1374_showID-2
3276,16,1/2/2019 5:18:37 PM,1464,res-3276_showID-16
1112,17,2/14/2019 9:56:28 PM,624,res-1112_showID-17
2409,8,2/15/2019 5:54:26 AM,593,res-2409_showID-8
2710,8,1/10/2019 9:52:04 PM,880,res-2710_showID-8
1849,21,2/15/2019 10:58:56 AM,1857,res-1849_showID-21
3189,26,1/8/2019 1:37:46 AM,1073,res-3189_showID-26
119,17,1/24/2019 1:38:51 AM,134,res-119_showID-17
2131,9,2/19/2019 7:23:55 AM,808,res-2131_showID-9
1381,19,3/6/2019 10:34:44 AM,147,res-1381_showID-19
1389,25,1/12/2019 6:42:45 PM,575,res-1389_showID-25
481,28,3/25/2019 12:54:52 AM,221,res-481_showID-28
823,30,2/21/2019 4:05:04 PM,1670,res-823_showID-30
1676,14,2/8/2019 9:36:39 AM,557,res-1676_showID-14
468,30,2/9/2019 4:22:35 AM,1395,res-468_showID-30
1713,21,3/11/2019 12:35:12 PM,104,res-1713_showID-21
3262,29,1/5/2019 9:17:43 AM,1076,res-3262_showID-29
333,22,1/24/2019 6:01:39 PM,802,res-333_showID-22
360,19,1/21/2019 10:06:27 PM,1671,res-360_showID-19
2140,23,3/6/2019 11:11:48 AM,1865,res-2140_showID-23
3298,6,1/28/2019 4:10:46 AM,1884,res-3298_showID-6
1483,11,3/25/2019 2:40:47 AM,1611,res-1483_showID-11
1554,5,2/4/2019 10:43:37 PM,386,res-1554_showID-5
941,29,1/13/2019 6:35:19 AM,1483,res-941_showID-29
2710,6,1/10/2019 9:52:04 PM,355,res-2710_showID-6
1850,23,2/12/2019 8:09:55 AM,191,res-1850_showID-23
2648,30,1/27/2019 2:08:51 PM,249,res-2648_showID-30
2664,20,3/19/2019 10:37:57 AM,242,res-2664_showID-20
2598,24,1/14/2019 10:30:28 PM,1928,res-2598_showID-24
3387,7,1/22/2019 5:40:16 PM,1142,res-3387_showID-7
2333,18,2/9/2019 5:08:42 PM,340,res-2333_showID-18
2613,16,1/26/2019 12:06:15 AM,844,res-2613_showID-16
2387,27,2/22/2019 12:29:27 AM,122,res-2387_showID-27
1662,26,3/10/2019 7:52:16 PM,888,res-1662_showID-26
2146,3,1/1/2019 2:41:01 AM,22,res-2146_showID-3
3537,2,3/1/2019 1:13:07 AM,450,res-3537_showID-2
1055,16,3/5/2019 6:02:28 PM,879,res-1055_showID-16
521,16,2/19/2019 10:14:19 AM,779,res-521_showID-16
821,12,3/19/2019 12:56:09 AM,899,res-821_showID-12
3013,6,1/12/2019 9:06:49 PM,994,res-3013_showID-6
360,14,1/21/2019 10:06:27 PM,1935,res-360_showID-14
2063,28,1/25/2019 4:54:03 PM,351,res-2063_showID-28
2469,26,1/21/2019 5:56:22 PM,251,res-2469_showID-26
589,6,3/13/2019 1:23:37 PM,1829,res-589_showID-6
3342,9,1/30/2019 10:55:08 AM,427,res-3342_showID-9
821,7,3/19/2019 12:56:09 AM,327,res-821_showID-7
2894,28,3/9/2019 12:47:40 PM,247,res-2894_showID-28
3005,4,2/4/2019 6:47:47 PM,1718,res-3005_showID-4
800,8,3/14/2019 6:12:26 AM,1390,res-800_showID-8
1365,5,1/8/2019 9:03:35 PM,568,res-1365_showID-5
2402,12,2/18/2019 12:05:15 AM,1114,res-2402_showID-12
2849,4,3/22/2019 2:33:54 AM,1473,res-2849_showID-4
1315,9,2/19/2019 1:08:59 PM,723,res-1315_showID-9
2788,3,3/2/2019 3:06:08 PM,560,res-2788_showID-3
128,24,3/29/2019 4:38:32 PM,1379,res-128_showID-24
2449,15,1/6/2019 5:56:03 PM,1659,res-2449_showID-15
333,4,1/24/2019 6:01:39 PM,976,res-333_showID-4
1548,11,3/8/2019 10:59:10 PM,645,res-1548_showID-11
2563,7,1/25/2019 1:51:31 AM,979,res-2563_showID-7
3341,21,1/22/2019 8:53:39 PM,1822,res-3341_showID-21
1033,14,2/8/2019 2:37:15 PM,496,res-1033_showID-14
3164,12,3/15/2019 7:14:13 AM,1737,res-3164_showID-12
1132,3,1/11/2019 6:29:36 AM,1286,res-1132_showID-3
869,17,1/12/2019 1:55:57 AM,1853,res-869_showID-17
1501,11,3/2/2019 7:41:45 AM,1119,res-1501_showID-11
2871,16,3/22/2019 5:23:32 AM,1499,res-2871_showID-16
3548,8,1/14/2019 7:58:57 PM,1078,res-3548_showID-8
2260,21,1/8/2019 4:15:08 AM,1196,res-2260_showID-21
149,17,2/8/2019 3:01:16 AM,8,res-149_showID-17
2325,4,3/30/2019 10:04:17 AM,490,res-2325_showID-4
1333,17,1/15/2019 10:35:29 PM,978,res-1333_showID-17
3365,24,2/14/2019 8:31:30 AM,881,res-3365_showID-24
1349,15,2/22/2019 12:59:56 PM,1741,res-1349_showID-15
285,28,1/23/2019 5:05:59 PM,15,res-285_showID-28
1948,15,3/25/2019 11:10:56 AM,1770,res-1948_showID-15
3145,28,2/18/2019 7:36:28 AM,1811,res-3145_showID-28
2490,16,1/26/2019 7:04:02 PM,750,res-2490_showID-16
1545,3,1/15/2019 8:44:11 AM,1185,res-1545_showID-3
3048,19,1/1/2019 5:07:26 PM,437,res-3048_showID-19
1964,29,3/19/2019 6:00:34 AM,1848,res-1964_showID-29
2616,26,1/23/2019 9:54:04 AM,1395,res-2616_showID-26
3181,19,3/2/2019 2:14:50 AM,1209,res-3181_showID-19
135,7,3/9/2019 3:56:35 AM,1481,res-135_showID-7
3064,1,2/23/2019 4:22:51 AM,871,res-3064_showID-1
11,23,3/19/2019 3:28:36 AM,301,res-11_showID-23
3361,15,1/18/2019 6:09:29 AM,665,res-3361_showID-15
3332,2,1/26/2019 9:21:39 AM,339,res-3332_showID-2
3008,9,1/4/2019 6:43:48 AM,961,res-3008_showID-9
2894,13,3/9/2019 12:47:40 PM,1110,res-2894_showID-13
2231,26,3/16/2019 12:06:10 AM,714,res-2231_showID-26
1882,11,3/2/2019 6:59:37 PM,1842,res-1882_showID-11
3500,30,1/9/2019 6:26:53 AM,1504,res-3500_showID-30
1503,13,2/6/2019 5:36:21 PM,1335,res-1503_showID-13
3551,29,2/1/2019 12:02:54 AM,1789,res-3551_showID-29
2109,30,1/28/2019 4:20:20 PM,1244,res-2109_showID-30
2135,21,1/9/2019 1:43:16 PM,1046,res-2135_showID-21
378,20,1/18/2019 8:57:06 PM,1606,res-378_showID-20
2099,11,2/11/2019 11:10:50 AM,371,res-2099_showID-11
3073,6,3/9/2019 12:26:20 PM,116,res-3073_showID-6
1391,30,1/28/2019 2:28:58 AM,1112,res-1391_showID-30
2435,15,3/16/2019 2:32:14 AM,1528,res-2435_showID-15
1927,2,3/28/2019 4:41:43 AM,641,res-1927_showID-2
1073,27,2/14/2019 5:25:42 PM,1292,res-1073_showID-27
2799,7,2/14/2019 10:08:13 PM,155,res-2799_showID-7
2272,15,3/19/2019 6:47:34 PM,60,res-2272_showID-15
1504,7,3/10/2019 3:00:58 PM,462,res-1504_showID-7
2152,12,3/30/2019 12:56:11 AM,1676,res-2152_showID-12
2216,25,1/8/2019 3:23:18 AM,522,res-2216_showID-25
1960,12,1/23/2019 3:48:43 AM,1767,res-1960_showID-12
3485,21,3/30/2019 8:35:16 PM,541,res-3485_showID-21
576,15,1/31/2019 12:42:25 AM,1834,res-576_showID-15
724,19,1/2/2019 1:50:59 AM,682,res-724_showID-19
1103,9,1/29/2019 10:23:31 PM,1431,res-1103_showID-9
3280,27,2/11/2019 9:09:41 PM,45,res-3280_showID-27
3507,5,2/1/2019 4:08:02 PM,1053,res-3507_showID-5
883,7,3/4/2019 9:28:36 PM,100,res-883_showID-7
2681,8,3/19/2019 8:47:56 AM,138,res-2681_showID-8
377,2,3/27/2019 2:51:01 AM,1269,res-377_showID-2
38,24,1/1/2019 6:33:00 PM,1902,res-38_showID-24
993,3,1/26/2019 10:21:42 AM,1922,res-993_showID-3
304,7,1/7/2019 8:04:14 PM,568,res-304_showID-7
58,5,2/26/2019 11:36:26 AM,1337,res-58_showID-5
3483,28,1/8/2019 12:42:15 AM,1174,res-3483_showID-28
271,13,3/25/2019 8:48:49 PM,1219,res-271_showID-13
3144,29,1/30/2019 6:34:43 AM,24,res-3144_showID-29
723,5,2/18/2019 5:15:58 PM,494,res-723_showID-5
618,29,1/23/2019 10:22:44 PM,1929,res-618_showID-29
1941,5,3/30/2019 2:16:07 AM,106,res-1941_showID-5
3397,12,2/10/2019 10:28:34 AM,1309,res-3397_showID-12
364,21,3/28/2019 5:03:12 AM,1750,res-364_showID-21
3125,5,2/3/2019 7:20:48 PM,154,res-3125_showID-5
532,27,3/12/2019 7:47:46 PM,162,res-532_showID-27
3104,19,3/21/2019 5:55:36 AM,990,res-3104_showID-19
140,20,1/10/2019 1:31:22 AM,82,res-140_showID-20
3270,13,3/16/2019 7:36:20 PM,1308,res-3270_showID-13
1726,15,3/20/2019 2:31:35 PM,1820,res-1726_showID-15
1790,6,1/29/2019 8:08:57 PM,737,res-1790_showID-6
116,17,2/6/2019 8:37:08 PM,1630,res-116_showID-17
2400,11,1/13/2019 12:24:36 AM,359,res-2400_showID-11
1235,16,1/18/2019 10:05:48 PM,1231,res-1235_showID-16
1593,18,3/22/2019 4:06:51 AM,1910,res-1593_showID-18
1700,10,2/16/2019 4:18:21 AM,1183,res-1700_showID-10
2374,30,1/15/2019 9:52:31 PM,1155,res-2374_showID-30
2497,9,1/2/2019 8:27:44 PM,925,res-2497_showID-9
1698,8,1/20/2019 5:46:44 AM,732,res-1698_showID-8
1973,8,3/14/2019 3:28:44 PM,614,res-1973_showID-8
3468,9,3/23/2019 12:22:29 AM,924,res-3468_showID-9
3252,8,1/13/2019 9:11:08 PM,1780,res-3252_showID-8
2582,2,1/21/2019 7:01:27 AM,295,res-2582_showID-2
2436,7,1/17/2019 10:07:54 AM,955,res-2436_showID-7
219,15,1/28/2019 11:27:57 AM,276,res-219_showID-15
735,12,2/28/2019 6:41:46 PM,801,res-735_showID-12
768,15,3/17/2019 8:14:57 PM,1232,res-768_showID-15
1359,3,1/13/2019 11:15:36 AM,1326,res-1359_showID-3
