SeatID,CombinedID
JRHUORJ2IFATUMJRHA,res-3415_showID-30
JRHUORJ2IFATUMJSGE,res-3225_showID-30
IZGE6T2SGI5EKORSGE3A,res-2797_showID-6
IZGE6T2SGI5EMORZ,res-442_showID-24
IZGE6T2SGI5EKORSGE2A,res-1277_showID-25
IZGE6T2SGI5EMORSGE4A,res-2838_showID-6
JVCVUWR2JI5DEMJQ,res-2866_showID-14
JRHUORJ2INBTUMJQGY,res-1325_showID-9
JRHUORJ2INBTUMJRGA,res-3198_showID-18
JVCVUWR2IM5DCMRQ,res-3151_showID-8
JVCVUWR2JA5DCMRQ,res-671_showID-29
JVCVUWR2JU5DCMBR,res-2855_showID-16
JRHUORJ2IJBDUMJU,res-2699_showID-12
JVCVUWR2II5DCMBS,res-92_showID-2
IZGE6T2SGI5EGORRGE,res-3214_showID-25
JRHUORJ2IFATUOA,res-3097_showID-5
IZGE6T2SGQ5E6ORRG4,res-2128_showID-1
IZGE6T2SGI5ECORSGA4Q,res-2304_showID-15
JVCVUWR2IQ5DI,res-1028_showID-12
IZGE6T2SGE5EEQSCHIYTANI,res-3504_showID-18
JRHUORJ2IVCTUMJQGQ,res-845_showID-1
JRHUORJ2INBTUMJSG4,res-2006_showID-18
IZGE6T2SGM5EUORTGE3Q,res-1325_showID-9
JVCVUWR2IU5DCMRS,res-904_showID-1
JVCVUWR2JU5DCMRS,res-3017_showID-5
IZGE6T2SGQ5FAORUGAZA,res-656_showID-10
JVCVUWR2J45DCMBZ,res-3170_showID-15
IZGE6T2SGE5EIRCEHIYTAOA,res-713_showID-11
IZGE6T2SGM5EWORTGEZQ,res-565_showID-20
IZGE6T2SGQ5FAORRGE,res-1245_showID-29
JVCVUWR2JQ5DEMBV,res-2741_showID-23
IZGE6T2SGE5EEQSCHIYTENY,res-1884_showID-20
JVCVUWR2IM5DCMBT,res-1273_showID-11
IZGE6T2SGQ5FAORUGI2A,res-696_showID-29
IZGE6T2SGE5EIRCEHIYTAMQ,res-3136_showID-18
IZGE6T2SGM5EUORU,res-156_showID-26
JVCVUWR2JQ5DCMBS,res-539_showID-3
IZGE6T2SGI5EIORRG4,res-904_showID-1
JVCVUWR2J45DCMJR,res-3077_showID-17
JVCVUWR2J45DCMJV,res-3320_showID-13
IZGE6T2SGE5EIRCEHIYTENA,res-1309_showID-20
IZGE6T2SGM5E2ORRG4,res-1927_showID-2
JVCVUWR2JU5DI,res-2211_showID-26
